case,question,option_a,option_b,option_c,option_d,answer
DHFL,What was the core nature of the DHFL fraud?,GST evasion,Stock market manipulation,Loan diversion to shell companies,Bribery to tax officials,c
DHFL,What was the approximate size of the fraud according to SFIO and CAG?,"Rs. 2,000 crore","Rs. 6,000 crore","Rs. 12,000 crore","Rs. 31,000 crore",d
DHFL,Which investigative media outlet first exposed the DHFL fraud?,India Today,Cobrapost,The Wire,Economic Times,b
DHFL,To whom were the loans disbursed fraudulently?,DHFL staff,Public sector units,Shell companies linked to promoters,SEBI-registered brokers,c
DHFL,Which of these best describes a ‘shell company’?,A licensed manufacturing unit,An IT services firm,A company with no real business operations,A large-cap listed firm,c
DHFL,What key red flag was visible in the borrowers' details?,Extremely high credit scores,Shared directors and addresses,Excessive turnover,Consistent audit trail,b
DHFL,Which audit area failed to detect the fraud?,HR review,Stock audit,Loan approval process,Cost audit,c
DHFL,What should have been verified before sanctioning loans?,Employee strength,GST returns,PAN and physical existence of borrowers,CSR policy,c
DHFL,Which authority filed charges against DHFL promoters?,RBI,SFIO,SEBI,ICAI,b
DHFL,What documentation was likely fabricated by the borrowers?,Bank statements,Board meeting minutes,Loan repayment ledgers,All of the above,d
DHFL,Which type of audit can track where loan money actually went?,Tax audit,Internal audit,End-use audit,Statutory audit,c
DHFL,What kind of transaction pattern indicated round-tripping?,Delay in payroll,Cash payment of taxes,Same amount routed repeatedly between group firms,Year-end depreciation adjustments,c
DHFL,Which tool can be used to detect common director linkages?,Excel pivot,Tally audit log,MCA master data,Trial balance,c
DHFL,Why was the end-use of funds not questioned?,Statutory exemption,Lack of auditor independence,Poor follow-up on site visits,Absence of documentation from borrower,c
DHFL,What was one of the primary internal control failures?,Improper stock valuation,Weak segregation of duties in loan approval,Poor expense recognition,Failure to update depreciation,b
DHFL,What is the key check to avoid disbursing loans to shell companies?,Verification of IT returns,Loan-to-value ratio,Cross-verifying legal ownership and activity proof,Checking salary registers,c
DHFL,Which regulator is responsible for NBFC oversight?,SEBI,RBI,SFIO,ICAI,b
DHFL,What loan pattern raised red flags during audit review?,Loans below Rs. 5 lakh,Bullet repayment after 7 years,"Similar loan amount, same day sanction",Loans backed by LIC,c
DHFL,Which accounting adjustment can hide NPA?,Deferred tax asset,Contingent liability,Restructuring and evergreening,GST refund reversal,c
DHFL,What document would have helped verify the physical existence of a borrower?,Rent agreement,Site visit report with photos,Invoice approval,TDS challan,b
ILFS,What triggered the collapse of IL&FS in 2018?,Loan defaults and repayment delays,SEBI investigation into its auditors,Stock price manipulation,Collapse of its IT subsidiary,a
ILFS,Which rating agencies continued giving AAA ratings despite IL&FS stress?,ICRA and CARE,Moody's and Fitch,RBI and CAG,BSE and NSE,a
ILFS,What type of internal guarantees masked IL&FS’s actual liabilities?,Bank guarantees,Inter-corporate guarantees,Vendor invoices,Share pledge notes,b
ILFS,Which audit procedure could have revealed cash flow mismatch?,Vouching for fixed assets,Surprise cash verification,Cash flow audit,Board resolution verification,c
ILFS,What was the role of intra-group lending in IL&FS’s failure?,Enhanced group liquidity,Helped reduce group debt,Masked financial stress,Secured promoter funding,c
ILFS,Which external authority replaced the IL&FS board?,NCLT,SEBI,RBI,Ministry of Corporate Affairs,d
ILFS,What was the scale of subsidiaries under the IL&FS group?,Less than 20,50–100,Over 300,Around 10,c
ILFS,Which former chairman of IL&FS was named in the SFIO chargesheet?,Uday Kotak,Ravi Parthasarathy,Deepak Parekh,Raghuram Rajan,b
