case,question,option_a,option_b,option_c,option_d,answer
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
Satyam Scam,What was the key manipulation technique in the Satyam scam?,Understating liabilities,Overstating salaries,Creating fictitious cash and receivables,Ignoring depreciation,c
Satyam Scam,What did Satyam’s auditors fail to do?,Confirm customer orders,Review board minutes,Independently confirm bank balances,Examine tax filings,c
PNB-Nirav Modi Fraud,What financial instrument was misused in the PNB fraud case?,Letters of Credit,Demand Drafts,Letters of Undertaking (LoUs),Bank Guarantees,c
PNB-Nirav Modi Fraud,Which internal control was bypassed during the scam?,KYC check,SWIFT–CBS reconciliation,Board approval for loans,Statutory audit,b
PNB-Nirav Modi Fraud,What financial instrument was misused in the PNB fraud case?,Letters of Credit,Demand Drafts,Letters of Undertaking (LoUs),Bank Guarantees,c
PNB-Nirav Modi Fraud,Which internal control was bypassed during the scam?,KYC check,SWIFT–CBS reconciliation,Board approval for loans,Statutory audit,b
PNB-Nirav Modi Fraud,What financial instrument was misused in the PNB fraud case?,Letters of Credit,Demand Drafts,Letters of Undertaking (LoUs),Bank Guarantees,c
